Id,Y,M,D,输出
1,2024,2,28,2024/2/29
2,2024,2,29,2024/3/1
3,2024,2,30,输入错误
4,2024,7,19,2024/7/20
5,2024,7,31,2024/8/1
6,2024,11,11,2024/11/12
7,2024,11,30,2024/12/1
8,2024,11,31,输入错误
9,2024,12,20,2024/12/21
10,2024,12,31,2025/1/1
11,2000,2,27,2000/2/28
12,2000,2,29,2000/3/1
13,2000,2,31,输入错误
14,2000,3,14,2000/3/15
15,2000,3,31,2000/4/1
16,2000,6,19,2000/6/20
17,2000,6,30,2000/7/1
18,2000,6,31,输入错误
19,2000,12,22,2000/12/23
20,2000,12,31,2001/1/1
21,1995,2,1,1995/2/2
22,1995,2,28,1995/3/1
23,1995,2,29,输入错误
24,1995,8,11,1995/8/12
25,1995,8,31,1995/9/1
26,1995,9,21,1995/9/22
27,1995,9,30,1995/10/1
28,1995,9,31,输入错误
29,1995,12,12,1995/12/13
30,1995,12,31,1996/1/1
