Id,Y,M,D,输出
1,2000,1,14,2000/1/15
2,2000,1,28,2000/1/29
3,2000,1,29,2000/1/30
4,2000,1,30,2000/1/31
5,2000,1,31,2000/2/1
6,2000,2,15,2000/2/16
7,2000,2,28,2000/2/29
8,2000,2,29,2000/3/1
9,2000,2,30,输入错误
10,2000,2,31,输入错误
11,2000,9,20,2000/9/21
12,2000,9,28,2000/9/29
13,2000,9,29,2000/9/30
14,2000,9,30,2000/10/1
15,2000,9,31,输入错误
16,2000,12,7,2000/12/8
17,2000,12,28,2000/12/29
18,2000,12,29,2000/12/30
19,2000,12,30,2000/12/31
20,2000,12,31,2001/1/1
21,2024,3,10,2024/3/11
22,2024,3,28,2024/3/29
23,2024,3,29,2024/3/30
24,2024,3,30,2024/3/31
25,2024,3,31,2024/4/1
26,2024,2,19,2024/2/20
27,2024,2,28,2024/2/29
28,2024,2,29,2024/3/1
29,2024,2,30,输入错误
30,2024,2,31,输入错误
31,2024,11,21,2024/11/22
32,2024,11,28,2024/11/29
33,2024,11,29,2024/11/30
34,2024,11,30,2024/12/1
35,2024,11,31,输入错误
36,2024,12,1,2024/12/2
37,2024,12,28,2024/12/29
38,2024,12,29,2024/12/30
39,2024,12,30,2024/12/31
40,2024,12,31,2025/1/1
41,1890,1,14,输入错误
42,1890,1,28,输入错误
43,1890,1,29,输入错误
44,1890,1,30,输入错误
45,1890,1,31,输入错误
46,1890,2,15,输入错误
47,1890,2,28,输入错误
48,1890,2,29,输入错误
49,1890,2,30,输入错误
50,1890,2,31,输入错误
51,1890,9,20,输入错误
52,1890,9,28,输入错误
53,1890,9,29,输入错误
54,1890,9,30,输入错误
55,1890,9,31,输入错误
56,1890,12,7,输入错误
57,1890,12,28,输入错误
58,1890,12,29,输入错误
59,1890,12,30,输入错误
60,1890,12,31,输入错误
61,2110,1,14,输入错误
62,2110,1,28,输入错误
63,2110,1,29,输入错误
64,2110,1,30,输入错误
65,2110,1,31,输入错误
66,2110,2,15,输入错误
67,2110,2,28,输入错误
68,2110,2,29,输入错误
69,2110,2,30,输入错误
70,2110,2,31,输入错误
71,2110,9,20,输入错误
72,2110,9,28,输入错误
73,2110,9,29,输入错误
74,2110,9,30,输入错误
75,2110,9,31,输入错误
76,2110,12,7,输入错误
77,2110,12,28,输入错误
78,2110,12,29,输入错误
79,2110,12,30,输入错误
80,2110,12,31,输入错误
81,2024,0,16,输入错误
82,2024,0,28,输入错误
83,2024,0,29,输入错误
84,2024,0,30,输入错误
85,2024,0,31,输入错误
86,2000,0,17,输入错误
87,2000,0,28,输入错误
88,2000,0,29,输入错误
89,2000,0,30,输入错误
90,2000,0,31,输入错误
91,1993,0,18,输入错误
92,1993,0,28,输入错误
93,1993,0,29,输入错误
94,1993,0,30,输入错误
95,1993,0,31,输入错误
96,2024,13,16,输入错误
97,2024,13,28,输入错误
98,2024,13,29,输入错误
99,2024,13,30,输入错误
100,2024,13,31,输入错误
101,2000,13,17,输入错误
102,2000,13,28,输入错误
103,2000,13,29,输入错误
104,2000,13,30,输入错误
105,2000,13,31,输入错误
106,1993,13,18,输入错误
107,1993,13,28,输入错误
108,1993,13,29,输入错误
109,1993,13,30,输入错误
110,1993,13,31,输入错误
111,2000,5,0,输入错误
112,2000,6,0,输入错误
113,2000,2,0,输入错误
114,2000,12,0,输入错误
115,2024,7,0,输入错误
116,2024,6,0,输入错误
117,2024,2,0,输入错误
118,2024,12,0,输入错误
119,1995,5,0,输入错误
120,1995,4,0,输入错误
121,1995,2,0,输入错误
122,1995,12,0,输入错误
123,2000,5,32,输入错误
124,2000,6,32,输入错误
125,2000,2,32,输入错误
126,2000,12,32,输入错误
127,2024,7,32,输入错误
128,2024,6,32,输入错误
129,2024,2,32,输入错误
130,2024,12,32,输入错误
131,1995,5,32,输入错误
132,1995,4,32,输入错误
133,1995,2,32,输入错误
134,1995,12,32,输入错误
135,1890,0,14,输入错误
136,1890,0,28,输入错误
137,1890,0,29,输入错误
138,1890,0,30,输入错误
139,1890,0,31,输入错误
140,2110,0,19,输入错误
141,2110,0,28,输入错误
142,2110,0,29,输入错误
143,2110,0,30,输入错误
144,2110,0,31,输入错误
145,1890,13,21,输入错误
146,1890,13,28,输入错误
147,1890,13,29,输入错误
148,1890,13,30,输入错误
149,1890,13,31,输入错误
150,2110,13,9,输入错误
151,2110,13,28,输入错误
152,2110,13,29,输入错误
153,2110,13,30,输入错误
154,2110,13,31,输入错误
155,1895,8,0,输入错误
156,1895,9,0,输入错误
157,1895,2,0,输入错误
158,1895,12,0,输入错误
159,2105,10,32,输入错误
160,2105,9,32,输入错误
161,2105,2,32,输入错误
162,2105,12,32,输入错误
163,2105,8,0,输入错误
164,2105,6,0,输入错误
165,2105,2,0,输入错误
166,2105,12,0,输入错误
167,1895,10,32,输入错误
168,1895,11,32,输入错误
169,1895,2,32,输入错误
170,1895,12,32,输入错误
171,2024,0,0,输入错误
172,2021,0,0,输入错误
173,2000,0,0,输入错误
174,2024,13,32,输入错误
175,2021,13,32,输入错误
176,2000,13,32,输入错误
177,2024,13,0,输入错误
178,2021,13,0,输入错误
179,2000,13,0,输入错误
180,2024,0,32,输入错误
181,2021,0,32,输入错误
182,2000,0,32,输入错误
183,1890,0,0,输入错误
184,1890,0,32,输入错误
185,1890,13,0,输入错误
186,1890,13,32,输入错误
187,2110,0,0,输入错误
188,2110,0,32,输入错误
189,2110,13,0,输入错误
190,2110,13,32,输入错误
