Id,Y,M,D,输出
1,2070,1,14,2070/1/15
2,2024,2,28,2024/2/29
3,2024,2,29,2024/3/1
4,1990,9,30,1990/10/1
5,2000,12,31,2001/1/1
6,1890,1,14,输入错误
7,1890,1,28,输入错误
8,1890,1,29,输入错误
9,1890,1,30,输入错误
10,1890,1,31,输入错误
11,1890,2,15,输入错误
12,1890,2,28,输入错误
13,1890,2,29,输入错误
14,1890,2,30,输入错误
15,1890,2,31,输入错误
16,1890,9,20,输入错误
17,1890,9,28,输入错误
18,1890,9,29,输入错误
19,1890,9,30,输入错误
20,1890,9,31,输入错误
21,1890,12,7,输入错误
22,1890,12,28,输入错误
23,1890,12,29,输入错误
24,1890,12,30,输入错误
25,1890,12,31,输入错误
26,2110,1,14,输入错误
27,2110,1,28,输入错误
28,2110,1,29,输入错误
29,2110,1,30,输入错误
30,2110,1,31,输入错误
31,2110,2,15,输入错误
32,2110,2,28,输入错误
33,2110,2,29,输入错误
34,2110,2,30,输入错误
35,2110,2,31,输入错误
36,2110,9,20,输入错误
37,2110,9,28,输入错误
38,2110,9,29,输入错误
39,2110,9,30,输入错误
40,2110,9,31,输入错误
41,2110,12,7,输入错误
42,2110,12,28,输入错误
43,2110,12,29,输入错误
44,2110,12,30,输入错误
45,2110,12,31,输入错误
46,2024,0,16,输入错误
47,2024,0,28,输入错误
48,2024,0,29,输入错误
49,2024,0,30,输入错误
50,2024,0,31,输入错误
51,2000,0,17,输入错误
52,2000,0,28,输入错误
53,2000,0,29,输入错误
54,2000,0,30,输入错误
55,2000,0,31,输入错误
56,1993,0,18,输入错误
57,1993,0,28,输入错误
58,1993,0,29,输入错误
59,1993,0,30,输入错误
60,1993,0,31,输入错误
61,2024,13,16,输入错误
62,2024,13,28,输入错误
63,2024,13,29,输入错误
64,2024,13,30,输入错误
65,2024,13,31,输入错误
66,2000,13,17,输入错误
67,2000,13,28,输入错误
68,2000,13,29,输入错误
69,2000,13,30,输入错误
70,2000,13,31,输入错误
71,1993,13,18,输入错误
72,1993,13,28,输入错误
73,1993,13,29,输入错误
74,1993,13,30,输入错误
75,1993,13,31,输入错误
76,2000,5,0,输入错误
77,2000,6,0,输入错误
78,2000,2,0,输入错误
79,2000,12,0,输入错误
80,2024,7,0,输入错误
81,2024,6,0,输入错误
82,2024,2,0,输入错误
83,2024,12,0,输入错误
84,1995,5,0,输入错误
85,1995,4,0,输入错误
86,1995,2,0,输入错误
87,1995,12,0,输入错误
88,2000,5,32,输入错误
89,2000,6,32,输入错误
90,2000,2,32,输入错误
91,2000,12,32,输入错误
92,2024,7,32,输入错误
93,2024,6,32,输入错误
94,2024,2,32,输入错误
95,2024,12,32,输入错误
96,1995,5,32,输入错误
97,1995,4,32,输入错误
98,1995,2,32,输入错误
99,1995,12,32,输入错误
