Id,Y,M,D,输出
1,1990,7,31,1990/8/1
2,1990,7,1,1990/7/2
3,1990,7,15,1990/7/16
4,1990,7,5,1990/7/6
5,1990,7,25,1990/7/26
6,1990,10,15,1990/10/16
7,1990,1,15,1990/1/16
8,1990,12,15,1990/12/16
9,1990,2,15,1990/2/16
10,1900,7,15,1900/7/16
11,1930,7,15,1930/7/16
12,2077,7,15,2077/7/16
13,2100,7,15,2100/7/16
1,1990,7,31,1990/8/1
2,1990,7,1,1990/7/2
3,1990,7,15,1990/7/16
4,1990,7,5,1990/7/6
5,1990,7,25,1990/7/26
6,1990,10,15,1990/10/16
7,1990,1,15,1990/1/16
8,1990,12,15,1990/12/16
9,1990,2,15,1990/2/16
10,1900,7,15,1900/7/16
11,1930,7,15,1930/7/16
12,2077,7,15,2077/7/16
13,2100,7,15,2100/7/16
14,1990,7,0,输入错误
15,1990,7,32,输入错误
16,1990,0,15,输入错误
17,1990,13,15,输入错误
18,1890,7,15,输入错误
19,2110,7,15,输入错误
1,1990,7,31,1990/8/1
2,1990,7,1,1990/7/2
3,1990,7,15,1990/7/16
4,1990,7,5,1990/7/6
5,1990,7,25,1990/7/26
6,1990,10,15,1990/10/16
7,1990,1,15,1990/1/16
8,1990,12,15,1990/12/16
9,1990,2,15,1990/2/16
10,1900,7,15,1900/7/16
11,1930,7,15,1930/7/16
12,2077,7,15,2077/7/16
13,2100,7,15,2100/7/16
14,1990,7,0,输入错误
15,1990,7,32,输入错误
16,1990,0,15,输入错误
17,1990,13,15,输入错误
18,1890,7,15,输入错误
19,2110,7,15,输入错误
20,1890,0,0,输入错误
21,1900,1,0,输入错误
22,1930,2,0,输入错误
23,2077,10,0,输入错误
24,2100,12,0,输入错误
25,2110,13,0,输入错误
26,1900,0,0,输入错误
27,1930,1,0,输入错误
28,1990,2,0,输入错误
29,2077,7,0,输入错误
30,2100,10,0,输入错误
31,2110,12,0,输入错误
32,1890,13,0,输入错误
33,1930,0,0,输入错误
34,1990,1,0,输入错误
35,2077,2,0,输入错误
36,2100,7,0,输入错误
37,2110,10,0,输入错误
38,1890,12,0,输入错误
39,1900,13,0,输入错误
40,1990,0,0,输入错误
41,2077,1,0,输入错误
42,2100,2,0,输入错误
43,2110,7,0,输入错误
44,1890,10,0,输入错误
45,1900,12,0,输入错误
46,1930,13,0,输入错误
47,2077,0,0,输入错误
48,2100,1,0,输入错误
49,2110,2,0,输入错误
50,1890,7,0,输入错误
51,1900,10,0,输入错误
52,1930,12,0,输入错误
53,1990,13,0,输入错误
54,2100,0,0,输入错误
55,2110,1,0,输入错误
56,1890,2,0,输入错误
57,1900,7,0,输入错误
58,1930,10,0,输入错误
